iter	RMSE
0	0.5988756618
1	0.5936562882
2	0.5879415238
3	0.5818859319
4	0.5764653944
5	0.5713864049
6	0.5663026191
7	0.5608220612
8	0.5559574271
9	0.5514684025
10	0.5473398919
11	0.5433865524
12	0.5396135948
13	0.5354166534
14	0.5310998678
15	0.5275605944
16	0.5234220316
17	0.5197609758
18	0.5163832311
19	0.5136894768
20	0.5104785005
21	0.5071738126
22	0.5040419681
23	0.500958939
24	0.4980491012
25	0.4952028952
26	0.4923310914
27	0.4895183119
28	0.487693981
29	0.4850637462
30	0.482557604
31	0.4800500085
32	0.4776845657
33	0.4752545146
34	0.4728543551
35	0.4708764361
36	0.4694107663
37	0.4671730717
38	0.465300051
39	0.4632504134
40	0.4618124257
41	0.4599219568
42	0.4584403886
43	0.4565892148
44	0.4550626584
45	0.4538090236
46	0.4520757735
47	0.450564935
48	0.4494195309
49	0.4475969373
50	0.4464144066
51	0.4451137848
52	0.4438136734
53	0.4424427464
54	0.441109585
55	0.4398765036
56	0.438785617
57	0.4374296568
58	0.4361372599
59	0.4353418121
60	0.4341867267
61	0.4331414865
62	0.4323100495
63	0.4319437158
64	0.4309003141
65	0.4299650714
66	0.4291169456
67	0.4278797583
68	0.4267907748
69	0.4255804278
70	0.4248254746
71	0.4237781165
72	0.4227615421
73	0.4218589967
74	0.4209461378
75	0.4199859022
76	0.4192506955
77	0.4187902505
78	0.4180523641
79	0.4173549955
80	0.4166903265
81	0.4160269642
82	0.4151450027
83	0.4146922485
84	0.4139840712
85	0.4134255686
86	0.4128821293
87	0.4122623834
88	0.4117001878
89	0.411425424
90	0.4106849168
91	0.410037626
92	0.409633042
93	0.4093483603
94	0.4088251865
95	0.4083763955
96	0.407308859
97	0.4069341368
98	0.4063282075
99	0.405649471
100	0.4049435651
101	0.4043373079
102	0.4040779827
103	0.4034909162
104	0.4030863696
105	0.4027208406
106	0.4022146406
107	0.4018760592
108	0.4016932198
109	0.401396791
110	0.4011430505
111	0.4009386303
112	0.4004241698
113	0.399895195
114	0.399531893
115	0.399047502
116	0.3985798861
117	0.3985251574
118	0.3982014817
