iter	Passed	Remaining
0	17	28261
1	33	26941
2	53	28315
3	74	29527
4	93	29765
5	109	29221
6	126	28857
7	143	28530
8	159	28147
9	175	27829
10	192	27842
11	209	27778
12	225	27569
13	242	27444
14	258	27269
15	271	26860
16	286	26719
17	302	26579
18	316	26306
19	323	25586
20	333	25100
21	349	25036
22	364	25007
23	380	24979
24	396	24989
25	412	24977
26	428	24943
27	443	24910
28	451	24457
29	466	24420
30	482	24418
31	498	24411
32	514	24451
33	530	24454
34	548	24514
35	561	24382
36	569	24055
37	584	24039
38	595	23826
39	607	23705
40	620	23594
41	636	23614
42	652	23640
43	668	23633
44	683	23633
45	694	23469
46	710	23472
47	726	23489
48	737	23332
49	752	23327
50	770	23387
51	786	23421
52	802	23430
53	818	23446
54	836	23506
55	852	23515
56	868	23521
57	884	23514
58	900	23523
59	908	23318
60	923	23309
61	939	23303
62	955	23318
63	961	23074
64	976	23070
65	993	23095
66	1009	23104
67	1025	23106
68	1041	23110
69	1057	23103
70	1072	23105
71	1089	23120
72	1105	23127
73	1121	23129
74	1137	23125
75	1153	23121
76	1169	23122
77	1184	23119
78	1200	23118
79	1238	23528
80	1255	23536
81	1271	23533
82	1286	23520
83	1302	23513
84	1318	23506
85	1334	23496
86	1351	23496
87	1366	23480
88	1382	23474
89	1399	23472
90	1414	23460
91	1431	23467
92	1447	23453
93	1455	23312
94	1470	23298
95	1486	23293
96	1503	23289
97	1519	23281
98	1534	23270
99	1551	23276
100	1567	23261
101	1582	23245
102	1599	23242
103	1615	23235
104	1630	23215
105	1646	23209
106	1662	23196
107	1678	23186
108	1694	23180
109	1710	23171
110	1721	23086
111	1736	23069
112	1752	23064
113	1768	23048
114	1783	23036
115	1799	23024
116	1815	23011
117	1831	22996
118	1847	22988
119	1862	22973
120	1870	22862
121	1880	22780
122	1885	22641
123	1900	22625
124	1916	22616
125	1924	22514
126	1940	22505
127	1955	22489
128	1963	22385
129	1978	22368
130	1995	22376
131	2009	22342
132	2024	22330
133	2039	22317
134	2056	22311
135	2072	22307
136	2083	22246
137	2098	22235
138	2114	22225
139	2130	22219
140	2146	22209
141	2161	22196
142	2178	22191
143	2193	22182
144	2209	22172
145	2226	22170
146	2242	22165
147	2258	22155
148	2274	22145
149	2289	22135
150	2302	22096
151	2307	21985
152	2323	21974
153	2339	21968
154	2350	21910
155	2367	21910
156	2383	21907
157	2399	21903
158	2417	21908
159	2433	21899
160	2443	21844
161	2460	21837
162	2476	21831
163	2492	21827
164	2498	21730
165	2513	21714
166	2529	21704
167	2546	21704
168	2551	21605
169	2566	21590
170	2572	21494
171	2579	21414
172	2594	21402
173	2613	21420
174	2649	21572
175	2671	21612
176	2691	21639
177	2708	21639
178	2724	21629
179	2741	21623
180	2757	21621
181	2774	21620
182	2790	21610
183	2807	21603
184	2823	21595
185	2842	21608
186	2850	21537
187	2865	21523
188	2881	21513
189	2897	21499
190	2913	21493
191	2930	21487
192	2946	21477
193	2961	21464
194	2978	21459
195	2994	21451
196	3010	21440
197	3021	21395
198	3037	21386
199	3053	21377
200	3061	21312
201	3077	21298
202	3088	21252
203	3103	21238
204	3119	21227
205	3135	21214
206	3150	21202
207	3167	21197
208	3183	21188
209	3199	21177
210	3215	21166
211	3230	21151
212	3236	21073
213	3251	21058
214	3259	20998
215	3275	20984
216	3290	20972
217	3306	20964
218	3312	20889
219	3327	20875
220	3345	20874
221	3361	20868
222	3377	20858
223	3385	20796
224	3398	20770
225	3414	20757
226	3430	20746
227	3446	20738
228	3462	20728
229	3478	20720
230	3492	20696
231	3507	20681
232	3522	20668
233	3533	20628
234	3549	20617
235	3565	20605
236	3581	20596
237	3597	20584
238	3607	20540
239	3616	20494
240	3632	20483
241	3648	20474
242	3664	20462
243	3680	20451
244	3690	20412
245	3707	20403
246	3723	20394
247	3738	20383
248	3754	20371
249	3770	20358
250	3785	20345
251	3801	20335
252	3817	20325
253	3833	20312
254	3849	20302
255	3866	20299
256	3882	20286
257	3897	20274
258	3913	20262
259	3929	20250
260	3946	20246
261	3962	20238
262	3970	20186
263	3986	20174
264	4002	20163
265	4020	20162
266	4036	20151
267	4052	20139
268	4067	20127
269	4083	20115
270	4096	20088
271	4111	20073
272	4127	20064
273	4143	20052
274	4159	20039
275	4176	20032
276	4191	20021
277	4208	20014
278	4224	20003
279	4240	19990
280	4256	19979
281	4272	19967
282	4288	19959
283	4305	19951
284	4322	19944
285	4338	19933
